word,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
αφεση,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ενορκη βεβαιωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εχοντας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εχω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οριο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ορμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
υδρα,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
αγια τραπεζα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμην,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
απατσι,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
αυτοκινητοδρομος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αυγουστος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βερολινο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βικτωρια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βοστωνη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γαμηλιο ταξιδι,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
γεννηση παιδιου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γαιδαρος,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
γατα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γερμανος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γιαννης,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
γνωστοποιηση,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
γυαλια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διακοπη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διευθυντρια σχολειου,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
διδυμοι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δεξαμενη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δευτερα παρουσια,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
δευτερον,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
δημοκρατια,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαρκεια ζωης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαδρομη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαλογισμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διεθνες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διευθυνσεις,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δραμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εξαρτηση,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
εξωτερικου χωρου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επικοινωνω,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
επιπτωσεις,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επιστροφη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εργαστηρι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εγγραφειτε,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
εκδηλωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εκθεση ιδεων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εκκλησια,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
εν τω μεταξυ,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ενταση ηχου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επικολληση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εποπτης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εταιρια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευαγγελιο,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ευαγγελιστης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευθυνη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευρετηριο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευφραδεια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ζητω,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ιαπωνια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κυκλος μαθηματων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
καντερμπιουρι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κινα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κολλεγιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κορσικανος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
κτιριο,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κυριολεκτικα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κυριε,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
κυστη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λευκα ειδη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λιστα ελεγχου,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
λυρικη σκηνη,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
λεσχη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λεπτομεριες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λορδων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λυρα,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
μεταφορα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μιλα ρε,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μουσικη,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
μαρτιος,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μεσης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ματαιωση,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
μεσαιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μη εγκυρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
μιση,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μισθος,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
μονομαχος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
μουρλαντ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μπαμπας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
