word,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
 αμετάφραστο,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
άφεση,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ένορκη βεβαίωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
έχοντας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
έχω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
όριο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
όρμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ύδρα,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
αγία τράπεζα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αμήν,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
απάτσι,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
αυτοκινητόδρομος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αυτό είναι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
αύγουστος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
βέγκα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βερολίνο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βικτώρια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
βοστώνη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γαμηλιο ταξιδι,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
γεννηση παιδιου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γάιδαρος,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
γάτα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γερμανός,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γιάννης,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
γνωστοποίηση,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
γυαλιά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διακοπη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαφορετικοτητα-διάκριση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διευθυντρια σχολειου,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
δίδυμοι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δεξαμενή,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δευτέρα παρουσία,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
δεύτερον,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
δημοκρατία,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
διάρκεια ζωής,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαδρομή,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διαλογισμός,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διεθνές,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
διευθύνσεις,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
δράμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εξαρτηση,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
εξωτερικου χωρου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επικοινωνω,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
επιπτωσεις,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επιστροφη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εργαστηρι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εγγραφείτε,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εγώ θα,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
εισάγετε,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
εκδήλωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εκθεση ιδεων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εκκλησία,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
"εν τω μεταξύ,",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ενταση ηχου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εντομεταξύ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επικόλληση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
επόπτης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
εταιρία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευαγγέλιο,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ευαγγελιστής,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευθύνη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευρετήριο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ευφράδεια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ζήτω,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
ιαπωνία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κυκλος μαθηματων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κάντερμπιούρι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κίνα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κολλέγιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κορσικανός,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
κτίριο,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
κυριολεκτικά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
κύριε,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
κύστη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λευκα ειδη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λιστα ελεγχου,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
λυρικη σκηνη,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
λέσχη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λατρεύω να φτιάχνω,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
λεπτομέριες,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λόρδων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
λύρα,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
μεταφορα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μιλα ρε,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
μουσικη,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
μάρτιος,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
μέσης,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ματαίωση,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
μεσαίο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μεταφορά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μη έγκυρο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
μισή,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
μισθός,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
μονομάχος,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
μουρλαντ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μπαμπάς,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
μπλεγμένος,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ντουλαπα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ντουλαπα ρουχων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νήμα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νίκος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νιάου,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
νύχτα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ξηροι καρποι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οδικος αξονας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικοδομικο τετραγωνο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικονομικη δυνατοτητα,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ομοιοκαταληξια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
οικονομικά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ομιλία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ουρά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πεπρωμενο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πολεμικο ναυτικο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προστασια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πρωινο γευμα,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
πτυχιακη εργασια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παγκόσμιος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παλάτι,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
παλαιότερα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
περίεργο,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
περικάρπιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
περιμένετε,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
περιοδικά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
περπατήστε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πιστέψτε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πουλώ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προάστια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προκαθορισμένο,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
προμήθεια,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
προμηθευτή,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
προσοχή,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
προφίλ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
πρόεδρος,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
ροδα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρολοι χειρος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ραγισμένο,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ρεκόρ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρουθ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ρυθμός,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ρωτήστε,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
σιδηροδρομικη γραμμη,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σπονδυλικη στηλη,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
στρατος,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
συμμαχια,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
σωσιβια λεμβος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σαγκάη,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
σεβασμός,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
σημαντικό,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σημεία,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σημείωση,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σπρώξτε,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στούντιο,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
στροβιλίζεται,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
συγκεντρώνω,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
συμμετοχή,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
συναισθηματική,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σύνδεσμος,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
σύστημα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ταυτοχρονα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τετραδιο εργασιων,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τυχερα παιχνιδια,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
τέρας,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
τίποτα περισσότερο,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ταυτότητα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
τραβήξτε,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
τυπώνω,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
υπουργείο,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
φεστιβάλ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
φινλαν,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
φοίνιξ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
φορτιστής,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
φυσικά,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
φωτιά,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
χωρος εργασιας,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χαρακτηριστικό,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χοίρος,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
χριστούγεννα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
χωρίς τίτλο,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
χώρα,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
