year,continent,visas
1997,Africa,534420.0
1998,Africa,568142.0
1999,Africa,599452.0
2000,Africa,655136.0
2001,Africa,697870.0
2002,Africa,498682.0
2003,Africa,478112.0
2004,Africa,501824.0
2005,Africa,505656.0
2006,Africa,509844.0
2007,Africa,553236.0
2008,Africa,624568.0
2009,Africa,582636.0
2010,Africa,607702.0
2011,Africa,651340.0
2012,Africa,774964.0
2013,Africa,807014.0
2014,Africa,939464.0
2015,Africa,987590.0
2016,Africa,1102308.0
1997,Asia,4779368.0
1998,Asia,4095252.0
1999,Asia,4254634.0
2000,Asia,4912918.0
2001,Asia,4883414.0
2002,Asia,3709890.0
2003,Asia,3409702.0
2004,Asia,3679070.0
2005,Asia,4059790.0
2006,Asia,4491056.0
2007,Asia,5272488.0
2008,Asia,5252246.0
2009,Asia,4218158.0
2010,Asia,4676740.0
2011,Asia,5386972.0
2012,Asia,6260632.0
2013,Asia,6749322.0
2014,Asia,7843954.0
2015,Asia,9999772.0
2016,Asia,9408144.0
1997,Europe,2290328.0
1998,Europe,2198228.0
1999,Europe,2163808.0
2000,Europe,2190592.0
2001,Europe,2130078.0
2002,Europe,1776156.0
2003,Europe,1707876.0
2004,Europe,1820970.0
2005,Europe,1978038.0
2006,Europe,2144000.0
2007,Europe,2071780.0
2008,Europe,2204056.0
2009,Europe,1815354.0
2010,Europe,1838702.0
2011,Europe,1976978.0
2012,Europe,2044116.0
2013,Europe,2159080.0
2014,Europe,2233482.0
2015,Europe,2138736.48
2016,Europe,2370736.0
1997,North America,1934950.0
1998,North America,2455302.0
1999,North America,3332712.0
2000,North America,4723946.0
2001,North America,5589696.0
2002,North America,4002780.0
2003,North America,2732304.0
2004,North America,2545810.0
2005,North America,2634646.0
2006,North America,2690166.0
2007,North America,2912554.0
2008,North America,2806644.0
2009,North America,2581658.0
2010,North America,3106098.0
2011,North America,3499058.0
2012,North America,4315244.0
2013,North America,3957256.0
2014,North America,4039056.0
2015,North America,4182708.0
2016,North America,4219978.0
1997,Oceania,92818.0
1998,Oceania,94106.0
1999,Oceania,105130.0
2000,Oceania,105670.0
2001,Oceania,111022.0
2002,Oceania,93890.0
2003,Oceania,91198.0
2004,Oceania,98470.0
2005,Oceania,95348.0
2006,Oceania,97106.0
2007,Oceania,100006.0
2008,Oceania,106178.0
2009,Oceania,92474.0
2010,Oceania,95548.0
2011,Oceania,98362.0
2012,Oceania,99266.0
2013,Oceania,105868.0
2014,Oceania,113194.0
2015,Oceania,121920.0
2016,Oceania,138600.0
1997,South America,2159310.0
1998,South America,2170502.0
1999,South America,1883214.0
2000,South America,1652472.0
2001,South America,1730232.0
2002,South America,1430136.0
2003,South America,1328698.0
2004,South America,1444080.0
2005,South America,1498222.0
2006,South America,1735846.0
2007,South America,1972496.0
2008,South America,2205672.0
2009,South America,2312754.0
2010,South America,2515038.0
2011,South America,3397106.0
2012,South America,4353292.0
2013,South America,4541802.0
2014,South America,4686358.0
2015,South America,4345696.0
2016,South America,3515940.0
1997,Unknown,6034989.0
1998,Unknown,5860927.0
1999,Unknown,6238484.0
2000,Unknown,7184174.0
2001,Unknown,7624022.0
2002,Unknown,5796777.0
2003,Unknown,4897012.0
2004,Unknown,5057073.0
2005,Unknown,5395153.0
2006,Unknown,5842172.0
2007,Unknown,6450295.0
2008,Unknown,6609864.0
2009,Unknown,5809512.0
2010,Unknown,6428425.0
2011,Unknown,7514001.0
2012,Unknown,8933756.0
2013,Unknown,9172705.0
2014,Unknown,9941932.0
2015,Unknown,10898813.24
2016,Unknown,10388767.0
